,JULIAN LOCKWOOD
Unique nouns: 783, Total nouns: 3942
Total time: 13.722 sec,Cost per noun: 3.481 ms
x,"['X-Plane 11', 'The information contained in this document is for simulation use only, within the X-Plane flight simulator.', 'It may also be \ndistributed with third-party content developed for X-Plane 11.', 'The X-Plane B737-800 ................................................................................................................................... 7 \nViews and Controls .......................................................................................................................................', 'Setting the Weight, Balance and Fuel in X-Plane ....................................................................................', 'The X-Plane B737-800', '\n \n \nDue to the use of ‘Blade Element Theory’ in X-Plane, an aircraft must be modeled with great accuracy, in order that it behave like its \nreal-life counterpart.', 'The 737-800 featured in X-Plane-11 has been modeled by our design team with a degree of accuracy that ensures its flight \ncharacteristics are like the real aircraft.', 'However, despite this, some differences will be apparent, because even the smallest factor \nplays into the ultimate behavior of the aircraft, both in real life, and in X-Plane.', 'However, in most cases, the actual 737-800 \nprocedures could be followed when operating the X-Plane version.', 'It is recommended that X-Plane pilots follow those procedures to \nextract the maximum capability and enjoyment from this aircraft.', 'Views and Controls \n \nThe X-Plane B737-800 features a detailed 3-D cockpit with a great many of the primary controls and systems modeled, including: \nFlight controls (yoke, rudder pedals, thrust levers, prop levers, condition levers), electrical systems, pneumatic systems, navigation \naids, radios, autopilot, interior and exterior lighting, and fuel systems.', 'If you are not familiar with this technique, more information is available in the X-Plane Desktop \n \nManual.', 'This section covers the basics techniques for the operation of the controls that you will encounter in the cockpit of an X-Plane \naircraft.', 'Control manipulators are consistent across all X-Plane 11 aircraft.', '\n   \n \n \n \nLevers are operated by assigning a peripheral \ndevice to the necessary axes in X-Plane (throttle, \nprop, mixture etc.).', 'More information is available in \nthe X-Plane Desktop Manual.', '\n \n \n \n \nThe Yoke / Stick / Joystick is operated by assigning \na peripheral device to the “roll” and “pitch” axes in \nX-Plane.', 'The Rudder Pedals are operated by assigning a \nperipheral device to the “yaw” axis in X-Plane.', 'If \nyour rudders also support toe braking, create \nadditional assignments to the “left toe brake” and \n“right toe brake” axes in X-Plane.', 'Assigning peripheral devices \n \nThis section of the manual deals with an “ideal” scenario, in terms of the assignment of external computer peripherals to operate the \nX-Plane B737-800 with the highest degree of realism.', 'To simulate this, assign the \nlateral axis of your yoke (or \njoystick) to the “Roll” \ncommand in X-Plane, and \nthe vertical axis to the \n“Pitch” command.', 'More information is \navailable in the X-Plane \nDesktop Manual.', 'To simulate the thrust levers \nfor a B737-800, assign two \nlevers on your quadrant to \nthe “Throttle 1” and “Throttle \n2” property in X-Plane.', 'To simulate this, assign two \nlevers on your quadrant to \nthe “Mixture 1” and “Mixture \n2” properties in X-Plane.', 'To simulate this, assign a \nperipheral lever to the \n“Flaps” property in X-Plane.', 'To simulate this, assign a \nperipheral lever to the \n“Landing gear” property in \nX-Plane.', 'To simulate this, assign the \n  yaw axis of your pedals \nperipheral device (or a \n \njoystick axis) to the “yaw” \nproperty in X-Plane.', 'To simulate this, assign the \nbrake “toe-tipping” motion of \neach individual pedal (or a \njoystick axis) to the “left toe \nbrake” and “right toe brake” \nproperty in X-Plane.', 'Note: Not all of the functions contained within these panels are fully simulated in the X-Plane 737-800 model.', 'In the X-Plane model of the 737-800, this panel \nsupports only the Yaw Damper toggle switch.', 'In the X-Plane model of the 737-800, this panel \nsupports only the VHF NAV switch.', 'FMS Control Display Units (CDUs) \n \n \nSee the (separate) X-Plane 11 Flight Management System (FMS) Manual for comprehensive instructions in relation to the \nfunction and operation of the Flight Management System installed in this aircraft.', 'Auto-Land \n \nThis aircraft is capable of full auto-land, provided the ILS in use if CAT-3 approved (check this using the X-Plane map).', 'Some online flight planners provide the option to save the plan as an X-Plane \ncompatible file, with an ‘fms’ extension.', 'Fuel Calculation \n \nNote: All calculations here are based on the X-Plane B737-800, and NOT the real-life B737-800.', ' %MAC  X-Plane', ' \nSetting the Weight, Balance and Fuel in X-Plane \n \nAfter calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure \nthe weight, balance and fuel for your upcoming flight.', 'Checklists \n \nThe following check lists are designed with the convenience of the simulation pilot in mind and customized to the X-Plane B737-800 \naircraft.', 'In X-Plane, a pre-flight inspection is not merely undertaken to simulate reality, but does in fact have real purpose, because the \ncontrol surfaces of the aircraft interact directly with the airflow over and around them, just as in real life.']",[],46
-,"['X-Plane 11', 'The X-Plane B737-800 ................................................................................................................................... 7 \nViews and Controls .......................................................................................................................................', 'Setting the Weight, Balance and Fuel in X-Plane ....................................................................................', 'Pre-Flight Exterior Inspection .................................................................................................................', 'The X-Plane B737-800', '\n \n \nDue to the use of ‘Blade Element Theory’ in X-Plane, an aircraft must be modeled with great accuracy, in order that it behave like its \nreal-life counterpart.', 'The 737-800 featured in X-Plane-11 has been modeled by our design team with a degree of accuracy that ensures its flight \ncharacteristics are like the real aircraft.', 'However, despite this, some differences will be apparent, because even the smallest factor \nplays into the ultimate behavior of the aircraft, both in real life, and in X-Plane.', 'However, in most cases, the actual 737-800 \nprocedures could be followed when operating the X-Plane version.', 'Views and Controls \n \nThe X-Plane B737-800 features a detailed 3-D cockpit with a great many of the primary controls and systems modeled, including: \nFlight controls (yoke, rudder pedals, thrust levers, prop levers, condition levers), electrical systems, pneumatic systems, navigation \naids, radios, autopilot, interior and exterior lighting, and fuel systems.', 'If you are not familiar with this technique, more information is available in the X-Plane Desktop \n \nManual.', 'Co-Pilot’s \nPrimary \nInstrument Panel \n \n \nPilot’s EFIS', '(Electronic Flight \nInstrument \nSystem) Control \nPanel \n \n \nEngine \nInstrument Panel \n/ Autopilot Panel \n \n \n \nCo-Pilot’s EFIS', 'Pilot’s Left \nGlance View \n \n \nOverhead Panel \n \n \nCo-Pilot’s', 'This section covers the basics techniques for the operation of the controls that you will encounter in the cockpit of an X-Plane \naircraft.', '\n   \n \n \n \nLevers are operated by assigning a peripheral \ndevice to the necessary axes in X-Plane (throttle, \nprop, mixture etc.).', 'More information is available in \nthe X-Plane Desktop Manual.', 'When \nthe mouse pointer is positioned slightly to the left of \nsuch a control, a counter-clockwise arrow appears.', 'This indicates that you are ready to rotate the \ncontrol counter-clockwise.', '\n \n \n \n \nThe Yoke / Stick / Joystick is operated by assigning \na peripheral device to the “roll” and “pitch” axes in \nX-Plane.', 'The Rudder Pedals are operated by assigning a \nperipheral device to the “yaw” axis in X-Plane.', 'If \nyour rudders also support toe braking, create \nadditional assignments to the “left toe brake” and \n“right toe brake” axes in X-Plane.', 'Assigning peripheral devices \n \nThis section of the manual deals with an “ideal” scenario, in terms of the assignment of external computer peripherals to operate the \nX-Plane B737-800 with the highest degree of realism.', 'To simulate this, assign the \nlateral axis of your yoke (or \njoystick) to the “Roll” \ncommand in X-Plane, and \nthe vertical axis to the \n“Pitch” command.', 'More information is \navailable in the X-Plane \nDesktop Manual.', 'To simulate the thrust levers \nfor a B737-800, assign two \nlevers on your quadrant to \nthe “Throttle 1” and “Throttle \n2” property in X-Plane.', 'To simulate this, assign two \nlevers on your quadrant to \nthe “Mixture 1” and “Mixture \n2” properties in X-Plane.', 'To simulate this, assign a \nperipheral lever to the \n“Flaps” property in X-Plane.', 'To simulate this, assign a \nperipheral lever to the \n“Landing gear” property in \nX-Plane.', 'To simulate this, assign the \n  yaw axis of your pedals \nperipheral device (or a \n \njoystick axis) to the “yaw” \nproperty in X-Plane.', 'To simulate this, assign the \nbrake “toe-tipping” motion of \neach individual pedal (or a \njoystick axis) to the “left toe \nbrake” and “right toe brake” \nproperty in X-Plane.', 'Note: Not all of the functions contained within these panels are fully simulated in the X-Plane 737-800 model.', 'Switches at the bottom of this panel are provided \nfor the wing (electrical) anti-ice, and engine intake \nanti-ice heaters.', 'The Wing Anti-ice switches direct bleed air to the \nleft and right de-icing boots at the leading edge of \nthe wings.', 'Center Panel \n \n \n \nMulti-Function Panel \n \nThe N1 SET rotary controls \nthe maximum throttle \nsetting (as a percentage of \nN1) that may be used by \nthe auto-throttle in TOGA', 'The Anti-Skid rotary \ncontrols the braking force \nthat will be applied by the \nauto-braking system.', 'Auto-Land \n \nThis aircraft is capable of full auto-land, provided the ILS in use if CAT-3 approved (check this using the X-Plane map).', 'Some online flight planners provide the option to save the plan as an X-Plane \ncompatible file, with an ‘fms’ extension.', 'Fuel Calculation \n \nNote: All calculations here are based on the X-Plane B737-800, and NOT the real-life B737-800.', ' %MAC  X-Plane', ' \nSetting the Weight, Balance and Fuel in X-Plane \n \nAfter calculating your fuel requirements (see Fuel Calculation) and referencing the Load Sheet Tables, you are ready to configure \nthe weight, balance and fuel for your upcoming flight.', 'Checklists \n \nThe following check lists are designed with the convenience of the simulation pilot in mind and customized to the X-Plane B737-800 \naircraft.', 'Pre-Flight Exterior Inspection \n \nA Pre-Flight Inspection should always precede flight in any aircraft.', 'In X-Plane, a pre-flight inspection is not merely undertaken to simulate reality, but does in fact have real purpose, because the \ncontrol surfaces of the aircraft interact directly with the airflow over and around them, just as in real life.']",['-'],51
plane,"['X-Plane 11', 'It may also be \ndistributed with third-party content developed for X-Plane 11.', 'Setting the Weight, Balance and Fuel in X-Plane ....................................................................................', 'Plane employs a technique called \n“blade element theory.', 'Plane, there are no artificial rules in \nplace to govern how the aircraft \nbehaves.', '\n \n \nDue to the use of ‘Blade Element Theory’ in X-Plane, an aircraft must be modeled with great accuracy, in order that it behave like its \nreal-life counterpart.', 'However, despite this, some differences will be apparent, because even the smallest factor \nplays into the ultimate behavior of the aircraft, both in real life, and in X-Plane.', 'However, in most cases, the actual 737-800 \nprocedures could be followed when operating the X-Plane version.', 'It is recommended that X-Plane pilots follow those procedures to \nextract the maximum capability and enjoyment from this aircraft.', 'If you are not familiar with this technique, more information is available in the X-Plane Desktop \n \nManual.', 'This section covers the basics techniques for the operation of the controls that you will encounter in the cockpit of an X-Plane \naircraft.', '\n   \n \n \n \nLevers are operated by assigning a peripheral \ndevice to the necessary axes in X-Plane (throttle, \nprop, mixture etc.).', 'More information is available in \nthe X-Plane Desktop Manual.', '\n \n \n \n \nThe Yoke / Stick / Joystick is operated by assigning \na peripheral device to the “roll” and “pitch” axes in \nX-Plane.', 'The Rudder Pedals are operated by assigning a \nperipheral device to the “yaw” axis in X-Plane.', 'If \nyour rudders also support toe braking, create \nadditional assignments to the “left toe brake” and \n“right toe brake” axes in X-Plane.', 'To simulate this, assign the \nlateral axis of your yoke (or \njoystick) to the “Roll” \ncommand in X-Plane, and \nthe vertical axis to the \n“Pitch” command.', 'More information is \navailable in the X-Plane \nDesktop Manual.', 'To simulate the thrust levers \nfor a B737-800, assign two \nlevers on your quadrant to \nthe “Throttle 1” and “Throttle \n2” property in X-Plane.', 'To simulate this, assign two \nlevers on your quadrant to \nthe “Mixture 1” and “Mixture \n2” properties in X-Plane.', 'To simulate this, assign a \nperipheral lever to the \n“Flaps” property in X-Plane.', 'To simulate this, assign a \nperipheral lever to the \n“Landing gear” property in \nX-Plane.', 'To simulate this, assign the \n  yaw axis of your pedals \nperipheral device (or a \n \njoystick axis) to the “yaw” \nproperty in X-Plane.', 'To simulate this, assign the \nbrake “toe-tipping” motion of \neach individual pedal (or a \njoystick axis) to the “left toe \nbrake” and “right toe brake” \nproperty in X-Plane.', 'Auto-Land \n \nThis aircraft is capable of full auto-land, provided the ILS in use if CAT-3 approved (check this using the X-Plane map).', 'Some online flight planners provide the option to save the plan as an X-Plane \ncompatible file, with an ‘fms’ extension.', ' %MAC  X-Plane', 'In X-Plane, a pre-flight inspection is not merely undertaken to simulate reality, but does in fact have real purpose, because the \ncontrol surfaces of the aircraft interact directly with the airflow over and around them, just as in real life.']",[],33
boeing,"['Boeing 737-800 \n \nPilot’s Operating Manual', 'Contents \nBackground: The Boeing 737 ........................................................................................................................ 5 \nB737-800 Series Specifications ................................................................................................................. 6', 'Background: The Boeing 737', 'The Boeing corporation developed \nthe 737 in the mid-1960s to serve as', 'In 1984, Boeing introduced the first of three variants that would subsequently be designated “Classics”.', 'In 1998, Boeing again heavily revised the 737, with the 600, 700, 800 and 900 variants, designated ‘NG’ (Next Generation).', 'In 2016 (as a response to the Airbus A320 NEO), Boeing introduced the ‘MAX’ series – designated MAX-7, MAX-8, MAX-9, MAX-\n10, MAX-200.', 'The Boeing 737 (all variants including military and cargo not discussed above) is the highest-selling commercial jetliner in history, \nwith over 10,000 deliveries as of 2018.']",[],8
pilot,"['Boeing 737-800 \n \nPilot’s Operating Manual', 'It is recommended that X-Plane pilots follow those procedures to \nextract the maximum capability and enjoyment from this aircraft.', 'To best view some of the switches \nfeatured in this aircraft, it is helpful to hide \nthe pilot and co-pilot yokes.', 'Creating “Quick Look” views \n \nBefore discussing the controls, we suggest that the pilot establish a series of “Quick Look” views that will be helpful later when \ninteracting with this particular aircraft.', 'The following “Quick Look” views are recommended for the B737-800, in a situation where the pilot is not using a Virtual Reality \n(VR) headset, or a head tracking device.', 'Pilot’s Primary \nInstrument Panel \n \n \nThrust Lever \nQuadrant and \nCenter Console', 'Co-Pilot’s \nPrimary \nInstrument Panel \n \n \nPilot’s EFIS', '(Electronic Flight \nInstrument \nSystem) Control \nPanel \n \n \nEngine \nInstrument Panel \n/ Autopilot Panel \n \n \n \nCo-Pilot’s EFIS', 'Pilot’s Left \nGlance View \n \n \nOverhead Panel \n \n \nCo-Pilot’s', 'System / Flight Management Computer fails, the \nassociated control switches on this panel may be \nused to transfer the remaining (good) system to \nboth pilot and first-officer in unison.', 'In Normal mode, these systems may be used \nindependently by the pilot and first-officer.', 'The circuit breaker \nboards themselves are located on the back wall of \nthe cockpit, behind the pilot and first-officer.', 'For example, \nclicking the VHF1 button to ON will activate the \nmic connected to the VHF 1 (pilot-side) radio.', 'For example, clicking the toggle below the \nVHF1 button will activate audio from the VHF 1 \n(pilot-side) radio.', 'The attitude display informs \nthe pilot whether the aircraft is \nflying straight, or turning, and \nwhether the aircraft is climbing, \nor descending.', 'Auto-pilot caution or \n  warning.', 'Illuminates \n  when the auto-pilot is engaged', 'The pilot needs to \nbe aware of this when resuming \nmanual control of the aircraft.', 'When the aircraft is following a flight-plan, or according to a navigation aid, this \nbar informs the pilot to climb, or descend, to intercept the desired altitude.', 'When the aircraft is following a flight-plan, or according to a navigation aid, this \nDeviation Bar  bar informs the pilot to steer left, or right, to intercept the desired track.', 'A separate EHSI Control Panel is provided for the pilot and first-officer.', 'thrust that will be used by \nthe pilot on touchdown.', 'the pilot from continuous \nmanual input to the \nelevator.', 'It is recommended the pilot \nassign an external \nperipheral axis to this \ncontrol if one is available.', 'The Fuel Control Levers \nare manually actuated by \nthe pilot to introduce fuel \ninto the engines, or cut-off \nfuel from the engines.', 'During startup, the pilot \nmoves the lever to the up \nposition to introduce fuel \nwhen the jet turbine has \nachieved the desired \nrotation speed.', 'During shutdown, the pilot \nmoves the lever to the \ndown position to close the \nsupply of fuel to the \nengine.', '\n \n \nControl panels are located \non either side of the center \nconsole, for access by pilot \nand first-officer.', 'Control panels are located \non either side of the center \nconsole, for access by pilot \nand first-officer.', 'For localizer and ILS approaches:  EHSI Control Panel \n \nNAV1 works in conjunction with the pilot’s EHSI, and Autopilot A. \nNAV2 works in conjunction with the first-officer’s EHSI, and Autopilot B. \n \n46', 'This works in \nand Rotary  conjunction with the VOR selected using the pilot’s EHSI Control Panel.', 'The CWS buttons are used to engage Control Wheel Steering mode, whereby the \nautopilot will allow the pilot to make inputs using the control wheel, after which it \nwill hold the resulting attitude.', '\n \nPilot’s', '\n \nEven when using the \nauto-throttle, the \nselected speed must be \nmanaged by the pilot \nthroughout the \napproach phase.', 'If not, simulation pilots may elect to use an \nonline flight planner.', 'It is recommended the pilot generate a flight plan for the chosen route before using the FMS or GPS units.', 'and the aircraft will carry a flight crew of two \npilots and six cabin-crew.', 'Checklists \n \nThe following check lists are designed with the convenience of the simulation pilot in mind and customized to the X-Plane B737-800 \naircraft.']","['the pilot', 'both pilot', 'the auto-pilot', 'The pilot', 'the simulation pilot']",40
operating,"['Boeing 737-800 \n \nPilot’s Operating Manual', '\n \nEmpty Operating Weight  -----------------------------------------  91,700 lbs. /']",[],2
manual,"['Boeing 737-800 \n \nPilot’s Operating Manual', 'If you are not familiar with this technique, more information is available in the X-Plane Desktop \n \nManual.', 'More information is available in \nthe X-Plane Desktop Manual.', 'More information is \navailable in the X-Plane \nDesktop Manual.', 'In this section of the manual, the cockpit will be broken down into distinct functional areas, and the controls that are featured in', 'FMS Control Display Units (CDUs) \n \n \nSee the (separate) X-Plane 11 Flight Management System (FMS) Manual for comprehensive instructions in relation to the \nfunction and operation of the Flight Management System installed in this aircraft.', 'Instructions for operating the Laminar Research FMS and GPS units can be found in separate (dedicated) manuals.']",['the manual'],7
author,['Author: Julian Lockwood (julian@x-plane.com)'],[],1
julian,['Author: Julian Lockwood (julian@x-plane.com)'],[],1
lockwood,['Author: Julian Lockwood (julian@x-plane.com)'],[],1
